theme,type,grammar_focus,text
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී අපි පින්තූරය රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පුස්තකාලයේදී මිතුරෝ ලිපිය අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පන්ති කාමරයේදී මිතුරෝ ලිපිය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට ක්‍රීඩා පිටියේදී අපි මල් පැළය ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී අපි ලිපිය අඳිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පන්ති කාමරයේදී ළමයා චිත්‍රය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පාසලේදී ළමයි මල් පැළය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට පන්ති කාමරයේදී මිතුරා පාසල් පොත උදව් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පන්ති කාමරයේදී ළමයි පින්තූරය කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පුස්තකාලයේදී ළමයි මල් පැළය අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මිතුරෝ පාසල් පොත ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පාසලේදී ළමයා කතා පොත ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මම චිත්‍රය ඉගෙන ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පන්ති කාමරයේදී අපි ගස සෙල්ලම් කරමු.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,පොත සිත්ගන්නාසුලුය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන ක්‍රීඩා පිටියේදී ළමයා මල් පැළය රැකබලා ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස වත්තේදී මම ලිපිය අඳිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පාසලේදී මිතුරෝ කතා පොත සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පන්ති කාමරයේදී ළමයා ලිපිය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී ළමයි ගස කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පුස්තකාලයේදී මම කතා පොත කියවමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පන්ති කාමරයේදී ළමයා සටහන ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පුස්තකාලයේදී මිතුරෝ මල් පැළය සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පුස්තකාලයේදී ළමයි කතා පොත සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරෝ සටහන ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් වත්තේදී මිතුරෝ කවිය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් ක්‍රීඩා පිටියේදී අපි පින්තූරය කියවමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස වත්තේදී මිතුරා ගස උදව් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පන්ති කාමරයේදී ළමයි පින්තූරය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මිතුරා ලිපිය අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ ක්‍රීඩා පිටියේදී මිතුරා මල් පැළය ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී ළමයි ගස සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මම ලිපිය රැකබලා ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මම පාසල් පොත රැකබලා ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පන්ති කාමරයේදී ළමයි මල් පැළය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පාසලේදී මම ලිපිය අඳිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට ක්‍රීඩා පිටියේදී ළමයා පුවත්පත සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී ළමයා පින්තූරය ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මිතුරා ලිපිය කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරෝ සටහන සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී ළමයි මල් පැළය රැකබලා ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මම ලිපිය ඉගෙන ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මම සටහන ඉගෙන ගනිමි.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,පොත ඉතා වැදගත්ය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පුස්තකාලයේදී මිතුරෝ කතා පොත අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් නිවසේදී ළමයා කවිය කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මිතුරෝ ගස ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී ළමයි පින්තූරය රැකබලා ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී අපි කවිය රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මිතුරා ගස උදව් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට පාසලේදී මිතුරා ලිපිය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද ක්‍රීඩා පිටියේදී මිතුරා පුවත්පත අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ වත්තේදී මිතුරෝ ගස කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස ක්‍රීඩා පිටියේදී මිතුරෝ චිත්‍රය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට පාසලේදී මම පාසල් පොත අඳිමි.
වාක්‍ය සම්බන්ධ කිරීම,clean_sentence,සම්බන්ධක පද,මම පොත කියවමි පසුව මගේ මිතුරා චිත්‍රයක් අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ නිවසේදී ළමයා පින්තූරය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මිතුරෝ කතා පොත උදව් කරති.
ප්‍රශ්න,clean_sentence,ප්‍රශ්න වාක්‍ය,ඔබගේ අනාගත බලාපොරොත්තුව කුමක්ද?
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මම ලිපිය ඉගෙන ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට නිවසේදී අපි කවිය ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන නිවසේදී මිතුරා පින්තූරය කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මිතුරෝ පින්තූරය සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මිතුරෝ ගස කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පන්ති කාමරයේදී ළමයි මල් පැළය සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මිතුරා මල් පැළය අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මම කවිය රැකබලා ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මම කවිය කියවමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී ළමයා මල් පැළය අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පුස්තකාලයේදී ළමයි කවිය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී ළමයි කවිය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරෝ කතා පොත ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මම කතා පොත සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ ක්‍රීඩා පිටියේදී ළමයි පුවත්පත ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පන්ති කාමරයේදී මිතුරෝ පුවත්පත ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පන්ති කාමරයේදී මම පුවත්පත අඳිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පන්ති කාමරයේදී ළමයි පුවත්පත සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මම චිත්‍රය අඳිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පුස්තකාලයේදී මිතුරෝ ලිපිය කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පුස්තකාලයේදී මම පුවත්පත රැකබලා ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී අපි පාසල් පොත ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී ළමයි පින්තූරය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මිතුරෝ චිත්‍රය උදව් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ නිවසේදී ළමයා ලිපිය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මිතුරෝ කතා පොත ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පුස්තකාලයේදී මිතුරෝ පුවත්පත සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මිතුරෝ චිත්‍රය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පාසලේදී අපි පුවත්පත අඳිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පාසලේදී මිතුරෝ පාසල් පොත කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මිතුරා කතා පොත අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන නිවසේදී මම පාසල් පොත කියවමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් නිවසේදී ළමයා සටහන අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මම පුවත්පත ඉගෙන ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන වත්තේදී මම චිත්‍රය රැකබලා ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පන්ති කාමරයේදී මම පුවත්පත ඉගෙන ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මිතුරා චිත්‍රය සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මිතුරෝ පුවත්පත ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන ක්‍රීඩා පිටියේදී ළමයා කතා පොත කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට වත්තේදී මිතුරා පින්තූරය උදව් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන නිවසේදී මම මල් පැළය ඉගෙන ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට ක්‍රීඩා පිටියේදී ළමයි කතා පොත සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට නිවසේදී ළමයා මල් පැළය ලියයි.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,පුස්තකාලය ඉතා ලස්සනය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් නිවසේදී මිතුරා ගස කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරෝ ලිපිය සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මිතුරා කතා පොත ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මිතුරා මල් පැළය ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පුස්තකාලයේදී මිතුරෝ කතා පොත උදව් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මම පින්තූරය රැකබලා ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී ළමයි පුවත්පත රැකබලා ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මිතුරෝ මල් පැළය ලියති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මිතුරෝ චිත්‍රය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් නිවසේදී ළමයි පුවත්පත කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මිතුරා කවිය උදව් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් නිවසේදී මිතුරෝ සටහන අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී ළමයා චිත්‍රය ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පුස්තකාලයේදී ළමයා ලිපිය කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන වත්තේදී ළමයා පාසල් පොත අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මිතුරෝ පුවත්පත ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද වත්තේදී ළමයි කතා පොත ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පාසලේදී මිතුරෝ සටහන සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ ක්‍රීඩා පිටියේදී මිතුරෝ කතා පොත උදව් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මම පින්තූරය කියවමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මම සටහන සෙල්ලම් කරමි.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,පාසල සිත්ගන්නාසුලුය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් වත්තේදී අපි ගස රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මිතුරෝ සටහන උදව් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස නිවසේදී ළමයා පුවත්පත සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මම චිත්‍රය ඉගෙන ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පුස්තකාලයේදී අපි ගස කියවමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ ක්‍රීඩා පිටියේදී ළමයි සටහන කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පාසලේදී අපි කවිය සෙල්ලම් කරමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මම කවිය සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මිතුරා කතා පොත සෙල්ලම් කරයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මිතුරෝ මල් පැළය සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද නිවසේදී මම පාසල් පොත සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී ළමයි පුවත්පත කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පුස්තකාලයේදී මම පාසල් පොත සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී අපි සටහන සෙල්ලම් කරමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී අපි පාසල් පොත අඳිමු.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,පොත ඉතා ලස්සනය.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට ක්‍රීඩා පිටියේදී ළමයා පුවත්පත ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී අපි ලිපිය අඳිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී ළමයා ගස ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මම චිත්‍රය සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස නිවසේදී ළමයා පුවත්පත ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන නිවසේදී අපි සටහන රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පුස්තකාලයේදී ළමයා පාසල් පොත රැකබලා ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පන්ති කාමරයේදී මම පුවත්පත රැකබලා ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ නිවසේදී අපි මල් පැළය රැකබලා ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මිතුරා පින්තූරය අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී මම පින්තූරය සෙල්ලම් කරමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මිතුරා සටහන කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට නිවසේදී මිතුරෝ පින්තූරය සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී අපි චිත්‍රය අඳිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පන්ති කාමරයේදී ළමයා පින්තූරය අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ පන්ති කාමරයේදී ළමයි පාසල් පොත සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මිතුරෝ කවිය අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මම පින්තූරය අඳිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී ළමයා කවිය ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට වත්තේදී ළමයා මල් පැළය කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පාසලේදී මිතුරා කවිය ඉගෙන ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පුස්තකාලයේදී අපි ලිපිය කියවමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පාසලේදී මම පින්තූරය ඉගෙන ගනිමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද පුස්තකාලයේදී ළමයා ගස රැකබලා ගනියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට පාසලේදී මම පාසල් පොත ලියමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන නිවසේදී මිතුරා මල් පැළය ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී ළමයි සටහන අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,වත්තේදී මම පින්තූරය කියවමි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පුස්තකාලයේදී මිතුරෝ පින්තූරය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,සවස පුස්තකාලයේදී මිතුරා කවිය ලියයි.
විස්තර කිරීම,clean_sentence,නාමපද හා විශේෂණ,ගස පිරිසිදුව තිබේ.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරා මල් පැළය ලියයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී මිතුරෝ පින්තූරය කියවති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,හෙට වත්තේදී මිතුරෝ චිත්‍රය අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ නිවසේදී ළමයි සටහන අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන පාසලේදී ළමයි සටහන අඳිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,උදෑසන වත්තේදී මිතුරෝ පින්තූරය ඉගෙන ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී අපි කතා පොත ඉගෙන ගනිමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,අද නිවසේදී ළමයා පින්තූරය කියවයි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,දහවල් පුස්තකාලයේදී මිතුරෝ කවිය සෙල්ලම් කරති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ක්‍රීඩා පිටියේදී ළමයි කතා පොත රැකබලා ගනිති.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,නිවසේදී මිතුරෝ චිත්‍රය ඉගෙන ගනිති.
වාක්‍ය සම්බන්ධ කිරීම,clean_sentence,සම්බන්ධක පද,අපි ගසක් සිටුවමු සහ එයට ජලය දමමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී මිතුරා කතා පොත අඳියි.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,ඊයේ නිවසේදී අපි පින්තූරය කියවමු.
දෛනික ජීවිතය,clean_sentence,ක්‍රියාපද හා කර්තෘ,පන්ති කාමරයේදී ළමයි චිත්‍රය අඳිති.
වාක්‍ය සම්බන්ධ කිරීම,clean_sentence,සම්බන්ධක පද,මම පාඩම් කරමි එවිට පසුව සෙල්ලම් කරමි.
