what students written,remarks,ground_truth
වනන්තරේ ඈත එපිට නෙලුම්,correct,වනන්තරේ ඈත එපිට නෙලුම්
පිපුණ විලක් ඇතී නිල් වතු,Vowel/diacritic,පිපුණ විලක් ඇති නිල් වතු
බලා ලිවීම,Punctuation,බලා ලිවීම.
ඇදෙති.,correct,ඇදෙති.
පිරුණු කලට වන සිවුපාවෝ,correct,පිරුණු කලට වන සිවුපාවෝ
ආදී චරිත අපට හඳුන්වා දුන්,correct,ආදී චරිත අපට හඳුන්වා දුන්
"බටකොළ ආච්චි, බූ බබා",correct,"බටකොළ ආච්චි, බූ බබා"
බලා ලිවීම,Punctuation,බලා ලිවීම.
හරි - වැරදි,correct,හරි - වැරදි
යමි - නොයමි,correct,යමි - නොයමි
උඩ - යට,correct,උඩ - යට
අඩු - නොඅඩු,correct,අඩු - නොඅඩු
පින්තූර මගින් කතා කීම ඈත,correct,පින්තූර මගින් කතා කීම ඈත
කාලයේ සිට පැවත එන ක්‍රමයකි,Punctuation,කාලයේ සිට පැවත එන ක්‍රමයකි.
පින්තූර කතා කියවීම අපි කැමැත්තෙමු,Punctuation,පින්තූර කතා කියවීම අපි කැමැත්තෙමු.
භාවිතා කරමින් ඉදිරිපත් කෙරෙන,correct,භාවිතා කරමින් ඉදිරිපත් කෙරෙන
චිත්‍ර කතා යනු පින්තූර බහුලව,correct,චිත්‍ර කතා යනු පින්තූර බහුලව
ක්‍රියා ඇස්‍ටරික්ස් ආදිය ලෝකය,Punctuation,"ක්‍රියා ඇස්‍ටරික්ස් ආදිය, ලෝකය"
කතන්දර වර්ගයකි ටින් ටින් ගේ වීර,Punctuation,කතන්දර වර්ගයකි. ටින් ටින් ගේ වීර
පුරා අදත් ජනපිය චිත්‍ර කතා වේ .,correct,පුරා අදත් ජනපිය චිත්‍ර කතා වේ.
ආරම්භ - අවසාන,correct,ආරම්භ - අවසාන
කරනවා - නොකරනවා,correct,කරනවා - නොකරනවා
පොළොව තුළින් මතුවන ධන,correct,පොළොව තුළින් මතුවන ධාන
නිධාන මොනවාද ?,correct,නිධාන මොනවාද?
ගෙනෙන්නේ කවුද?,correct,ගෙනෙන්නේ කවුද?
පාට පාට මැණික් ජාති,correct,පාට පාට මැණික් ජාති
කවි පෙළෙහි සඳහන් ගංගා,Retroflex,කවි පෙළෙහි සඳහන් ගංඟා
දෝත පුරා මල් අරගෙන සුවඳ,correct,දෝත පුරා මල් අරගෙන සුවඳ
මකුළුවා නූල් ලබා ගත්තේ,correct,මකුළුවා නූල් ලබා ගත්තේ
මොනවායින්ද?,correct,මොනවායින්ද?
කපු පුලුන්,correct,කපු පුලුන්
මකුළුවා යොසාකුට කළගුණ,correct,මකුළුවා යොසාකුට කළගුණ
සැළකුවේ කෙසේද,Punctuation,සැළකුවේ කෙසේද ?
මකුළුවා යොසාකුට කළගුණ,correct,මකුළුවා යොසාකුට කළගුණ
සැළකුවේ කෙසේද,Punctuation,සැළකුවේ කෙසේද ?
හිස නමා,correct,හිස නමා
සර්පයා යොසාකුගේ රෙදි වියන,correct,සර්පයා යොසාකුගේ රෙදි වියන
කාමරයට පැමිණියේ කෙසේද?,correct,කාමරයට පැමිණියේ කෙසේද?
කපු පුලුන් පොදියට රිංගා,correct,කපු පුලුන් පොදියට රිංගා
ගෙන,correct,ගෙන
ලූලා,correct,ලූලා
පූසා,correct,පූසා
කූඩය,correct,කූඩය
කූර,correct,කූර
නූල,correct,නූල
රූකඩ,correct,රූකඩ
ඈත - මෑත,correct,ඈත - මෑත
මම - අපි,correct,මම - අපි
විරාම ලක්ෂණ යොදන්න,Punctuation,විරාම ලක්ෂණ යොදන්න.
ඉතිං  පහුවදාත්  නරිහාමි,correct,ඉතිං පහුවදාත් නරිහාමි
ලොකු බඩගින්නක්,correct,ලොකු බඩගින්නක්
හැදුනා. එදත් කන්න,correct,හැදුනා. එදත් කන්න
දෙයක් හොයාගෙන,correct,දෙයක් හොයාගෙන
ඇවිදගෙන යනකොට,correct,ඇවිදගෙන යනකොට
නරිහාමිට ඉත්තෑවෙක්,correct,නරිහාමිට ඉත්තෑවෙක්
බඩගින්නක් හැදුනා. එදත්,correct,බඩගින්නක් හැදුනා. එදත්
කන්න දෙයක් හොයාගෙන කැලේ,correct,කන්න දෙයක් හොයාගෙන කැලේ
ඇවිදගෙන යනකොට නරිහාමිට,correct,ඇවිදගෙන යනකොට නරිහාමිට
ඉතිං  පහුවදාත්  නරිහාමිට  ලොකු,correct,ඉතිං පහුවදාත් නරිහාමිට ලොකු
1 මාලා ගාල්ලට යනවා.,Punctuation,1 මාලා ගාල්ලට යනවා
3 මාමා මාලයක් ගත්තා.,correct,3 මාමා මාලයක් ගත්තා
4 නයනා මාතරට ආවා.,correct,4 නයනා මාතරට ආවා
2 තාරාවා පාරට ආවා.,correct,2 තාරාවා පාරට ආවා
13 තුලාව,correct,13 තුලාව
12 සුහද,correct,12 සුහද
14 රුලං,correct,14 රුලං
15 සුළඟ,correct,15 සුළඟ
15 කුරුල්ලෝ,correct,15 කුරුල්ලෝ
පෘතුගාලයේ සිට පෘතුගීසින්,correct,පෘතුගාලයේ සිට පෘතුගීසින්
දිනපතා ප්‍රවෘත්ති බලන්න,Punctuation,දිනපතා ප්‍රවෘත්ති බලන්න.
වෘත්තයක් අඳින්න,Punctuation,වෘත්තයක් අඳින්න.
මේ කෘතිය කියවන්න.,correct,මේ කෘතිය කියවන්න.
වෛද්‍ය,correct,වෛද්‍ය
දෛව්‍ය,correct,දෛව්‍ය
මෛත්‍රිය,correct,මෛත්‍රිය
චෛත්‍යය,correct,චෛත්‍යය
සහ යමකින් උපුටා,correct,සහ යමකින් උපුටා
යොදනු ලැබෙයි.,Vowel/diacritic,යොදනු ලබයි.
ගැනීමේදී යුගල උඩු කොමාව,correct,ගැනීමේදී යුගල උඩු කොමාව
යුගල උඩු කොමාව.,correct,යුගල උඩු කොමාව.
* කෙනෙක් කියන ලද,correct,* කෙනෙක් කියන ලද
"1) "" මමත් එනවා."" නංගී",Punctuation,"1) "" මමත් එනවා"" නංගී"
* වෛද්‍ය,correct,* වෛද්‍ය
* මෛත්‍රිය,correct,* මෛත්‍රිය
* දෛවය,correct,* දෛවය
මුල,correct,මුල
මුවා,correct,මුවා
දුර,correct,දුර
ගුහාව,correct,ගුහාව
පුටුව,correct,පුටුව
දුන්න,correct,දුන්න
දෙයක් හොයාගෙන,correct,දෙයක් හොයාගෙන
ඇවිදගෙන යනකොට,correct,ඇවිදගෙන යනකොට
නරිහාමිට ඉත්තෑවෙක්,correct,නරිහාමිට ඉත්තෑවෙක්
"හම්බ වුණා. ""කොහෙද",correct,"හම්බ වුණා. ""කොහෙද"
"ඉත්තෑවෝ යන්නෙ?""",correct,"ඉත්තෑවෝ යන්නෙ? """
නරිහාමි ඇහුවා,Punctuation,නරිහාමි ඇහුවා.
කෲසෝ,correct,කෲසෝ
බෲනායි,correct,බෲනායි
ලූලා,correct,ලූලා
පූසා,correct,පූසා
කූඩය,correct,කූඩය
සූකිරි,correct,සූකිරි
රූකඩ,correct,රූකඩ
කූර,correct,කූර
නූල,correct,නූල
කෙනෙක් කියන ලද දෙයකට සහ,correct,කෙනෙක් කියන ලද දෙයකට සහ
යමකින් උපුටා ගැනීමේදී  යුගල,correct,යමකින් උපුටා ගැනීමේදී යුගල
උඩු කොමාව යොදනු ලැබෙයි.,Vowel/diacritic,උඩු කොමාව යොදනු ලබයි.
බඩගින්නක් හැදුණා එදත් කන්න,Punctuation,බඩගින්නක් හැදුණා. එදත් කන්න
යනකොට නරිහාමිට ඉත්තෑවෙක්,correct,යනකොට නරිහාමිට ඉත්තෑවෙක්
ඉතිං  පහුවදාත්  නරිහාමිට  ලොකු,correct,ඉතිං පහුවදාත් නරිහාමිට ලොකු
මිහිරි,correct,මිහිරි
තොවිලය,correct,තොවිලය
ශෛල,correct,ශෛල
ගෞරවය,correct,ගෞරවය
ත්‍යාගය,correct,ත්‍යාගය
රාමායණය,correct,රාමායණය
කීවා,correct,කීවා
අකීකරුයි,correct,අකීකරුයි
කවීශා,correct,කවීශා
දීපේ,correct,දීපේ
ගීතේ,correct,ගීතේ
පිපී,correct,පිපී
මී පැණි,correct,මී පැණි
වාක්‍යයක්  අවසන් වීමට,correct,වාක්‍යයක් අවසන් වීමට
පෙර තබන විරාමය සඳහා,correct,පෙර තබන විරාමය සඳහා
කොමාව යොදයි.,correct,කොමාව යොදයි.
උදාහරණ,correct,උදාහරණ
1 මාලා ගාල්ලට යනවා,Punctuation,1 මාලා ගාල්ලට යනවා.
2 තාරාවා පාරට ආවා,Punctuation,2 තාරාවා පාරට ආවා.
රුලං,correct,රුලං
සුළඟ,correct,සුළඟ
පුළුවන්,correct,පුළුවන්
විරාම ලකුණු යොදන්න,Punctuation,විරාම ලකුණු යොදන්න.
ඉතිං  පහුවදාත්  නරිහාමිට  ලොකු,correct,ඉතිං පහුවදාත් නරිහාමිට ලොකු
බඩගින්නක් හැදුනා. එදත් කන්න,correct,බඩගින්නක් හැදුනා. එදත් කන්න
දෙයක් හොයාගෙන කැලේ ඇවිදගෙන,correct,දෙයක් හොයාගෙන කැලේ ඇවිදගෙන
අතරමග,correct,අතරමග
ඉලපත,correct,ඉලපත
එක,correct,එක
ඖෂධ,correct,ඖෂධ
ආභරණ,correct,ආභරණ
ඊතලය,correct,ඊතලය
ණය,correct,ණය
කතරගම,correct,කතරගම
ඇසළ,correct,ඇසළ
උමඟ,correct,උමඟ
ඓක්‍යය,correct,ඓක්‍යය
දඹල,correct,දඹල
පරණ,correct,පරණ
දූපත,correct,දූපත
පූසා,correct,පූසා
කූර,correct,කූර
නූල,correct,නූල
ලූලා,correct,ලූලා
ලූලා,correct,ලූලා
ලොකු බඩගින්නක් හැදුණ,Vowel/diacritic,ලොකු බඩගින්නක් හැදුණා
ලොකු බඩගින්නක් හැදුණ,Punctuation,ලොකු බඩගින්නක් හැදුණා.
ඉතිං  පහුවදාත්  නරිහාමිට,correct,ඉතිං පහුවදාත් නරිහාමිට
එදත් කන්න දෙයක් හොයාගෙන,correct,එදත් කන්න දෙයක් හොයාගෙන
කැලේ ඇවිදගෙන යනකොට,correct,කැලේ ඇවිදගෙන යනකොට
නරිහාමිට ඉත්තෑවෙක්,correct,නරිහාමිට ඉත්තෑවෙක්
"හම්බ වුණා. ""කොහෙද",correct,"හම්බ වුණා. ""කොහෙද"
කෙනෙක් කියන ලද දෙයකට,correct,කෙනෙක් කියන ලද දෙයකට
සහ යමකින් උපුටා ගැනීමේදී,correct,සහ යමකින් උපුටා ගැනීමේදී
යුගල උඩු කොමාව යොදනු,correct,යුගල උඩු කොමාව යොදනු
ලැබෙයි,Vowel/diacritic,ලබයි
මාලා ගාල්ලට යනවා,Punctuation,මාලා ගාල්ලට යනවා.
තාරාවා පාරට ආවා,Punctuation,තාරාවා පාරට ආවා.
මාමා මාලයක් ගත්තා,Punctuation,මාමා මාලයක් ගත්තා.
ඉතිං  පහුවදාත්  නරිහාමිට  ලොකු,correct,ඉතිං පහුවදාත් නරිහාමිට ලොකු
විරාම ලක්ෂණ යොදන්න.,correct,විරාම ලක්ෂණ යොදන්න.
දෙයක් හොයාගෙන කැලේ ඇවිදගෙන,correct,දෙයක් හොයාගෙන කැලේ ඇවිදගෙන
බඩගින්නක් හැදුනා. එදත් කන්න,correct,බඩගින්නක් හැදුනා. එදත් කන්න
අග්ගලා,correct,අග්ගලා
අග්ගලා,correct,අග්ගලා
අග්ගලා,correct,අග්ගලා
අධිෂ්ඨානය,correct,අධිෂ්ඨානය
අධිෂ්ඨානය,correct,අධිෂ්ඨානය
කාලයගත කරමි,Punctuation,කාලයගත කරමි.
1.සැදෑ කාලයේ දී මම මුහුදු වෙරළේ,correct,1.සැදෑ කාලයේ දී මම මුහුදු වෙරළේ
සරුංගලේ යවමි,Punctuation,සරුංගලේ යවමි.
2. සැදෑ අඳුරත් සමග මම මුහුදු වෙරළේ,correct,2. සැදෑ අඳුරත් සමග මම මුහුදු වෙරළේ
වැලි මාලිගා සාදමි,Punctuation,වැලි මාලිගා සාදමි.
3. සැදෑ  අහසේ ඉර බැස යන ආකාරය මම,correct,3. සැදෑ අහසේ ඉර බැස යන ආකාරය මම
මුහුදු වෙරළේ සිට නරඹමි.,correct,මුහුදු වෙරළේ සිට නරඹමි.
ඉවත දමන දඬුව වුවද සරු පොළවේ,correct,ඉවත දමන දඬුව වුවද සරු පොළවේ
දලු ලා යළි පැළ වෙයි.,Retroflex,දළු ලා යළි පැළ වෙයි.
සරු පොළොව මිනිසාට මෙන්ම සතා සි,correct,සරු පොළොව මිනිසාට මෙන්ම සතා සි
වුපාවන් සදහා සම්පත් ගෙන දෙයි,Punctuation,වුපාවන් සදහා සම්පත් ගෙන දෙයි.
සරු පොළොව නරඹා සියල්ලෝම,correct,සරු පොළොව නරඹා සියල්ලෝම
සතුටු වෙති,correct,සතුටු වෙති
කරමි,correct,කරමි
සැදෑ කාලයේදී මම මුහුදු වෙරළේ,correct,සැදෑ කාලයේදී මම මුහුදු වෙරළේ
සරුංගලේ යවමි,Punctuation,සරුංගලේ යවමි.
සැදෑ  අඳුරත් සමග මම මුහුදු වෙරළේ,correct,සැදෑ අඳුරත් සමග මම මුහුදු වෙරළේ
වැලි මාලිගා සාදමි,Punctuation,වැලි මාලිගා සාදමි.
සැදෑ  අහසේ ඉර බැස යන ආකාරය,correct,සැදෑ අහසේ ඉර බැස යන ආකාරය
මම මුහුදු වෙරළේ සිට නරඹමි.,correct,මම මුහුදු වෙරළේ සිට නරඹමි.
මම කැමැතිම පොත,correct,මම කැමැතිම පොත
ගඟ අද්දර නම් කෘතියට බොහෝ,correct,ගඟ අද්දර නම් කෘතියට බොහෝ
සේ ප්‍රිය කරමි,Punctuation,සේ ප්‍රිය කරමි.
එහි සරල ගැමි භාෂාවට මම බොහෝ,correct,එහි සරල ගැමි භාෂාවට මම බොහෝ
සේ ප්‍රිය කරමි,Punctuation,සේ ප්‍රිය කරමි.
ගහ අද්දර නම් කෘතිය තුළ මම ළළු,missing word/letter,ගහ අද්දර නම් කෘතිය තුළ මම යහලළුවන්
වන් සමග සිටින ආකාරය දැන ගත්,missing word/letter,යහලළුවන් සමග සිටින ආකාරය දැන ගත්
1 මිහිරි මීකිරි කනවා,Punctuation,1 මිහිරි මීකිරි කනවා.
2 ගිහාන් ගීතයක් ගයනවා,Punctuation,2 ගිහාන් ගීතයක් ගයනවා.
3 දිලිනි දීප්තිට කතා කර,Punctuation,3 දිලිනි දීප්තිට කතා කර.
4 චින්තක චීනයට යනවා,Punctuation,4 චින්තක චීනයට යනවා.
"රවිඳු, සහන් සහ අතුල ක්‍රකට්  සෙල්ලම් කරමින්",ZWJ missing,"රවිඳු, සහන් සහ අතුල ක්‍රිකට් සෙල්ලම් කරමින්"
සිටියේ අතුලයේ නිවසේ ඉදිරිපස මිදුලේය,Retroflex,සිටියේ අතුලගේ නිවසේ ඉදිරිපස මිදුලේය
රවිඳු එවන ලද බෝල පහරක් වැදීමෙන්,correct,රවිඳු එවන ලද බෝල පහරක් වැදීමෙන්
අතුලයේ නිවසේ ජනේලයක් බිදී ගියේය,Retroflex,අතුලගේනිවසේ ජනේලයක් බිදී ගියේය
එතැන් සිදුවන්නට ඇති දේ පිළිදව,correct,එතැන් සිදුවන්නට ඇති දේ පිළිදව
නිර්මාණත්මක වැකි තුනක් ලියන්න,Punctuation,නිර්මාණත්මක වැකි තුනක් ලියන්න.
තුලාව,correct,තුලාව
සැදෑ කාලයේදී මම මුහුදු වෙරළේ සරුංගල්,correct,සැදෑ කාලයේදී මම මුහුදු වෙරළේ සරුංගල්
යවමි,correct,යවමි
සැදෑ  අඳුරත් සමග මම මුහුදු වෙරළේ,correct,සැදෑ අඳුරත් සමග මම මුහුදු වෙරළේ
වැලි මාලිගා සාදමි,Punctuation,වැලි මාලිගා සාදමි.
සැදෑ  අහසේ ඉර බැස යන ආකාරය මම,correct,සැදෑ අහසේ ඉර බැස යන ආකාරය මම
මුහුදු වෙරළේ නරඹමි.,correct,මුහුදු වෙරළේ නරඹමි.
අපි වැඩිහිටියන්ට ආදරයෙන් කරුණාවෙන්,correct,අපි වැඩිහිටියන්ට ආදරයෙන් කරුණාවෙන්
සලකමු,correct,සලකමු
අපි ඔවුන් අසනීප වූ විට බෙහෙත් දී ඉතා,correct,අපි ඔවුන් අසනීප වූ විට බෙහෙත් දී ඉතා
හොදින් සලකමු.,correct,හොදින් සලකමු.
අපි වැඩිහිටියන් දුටු විට ඔවුන්ට ඉතා,correct,අපි වැඩිහිටියන් දුටු විට ඔවුන්ට ඉතා
ගෞරවයෙන් සලකමු.,correct,ගෞරවයෙන් සලකමු.
අපේ පාසලේ ක්‍රීඩා උත්සවය අදයි,correct,අපේ පාසලේ ක්‍රීඩා උත්සවය අදයි
(වර්තමාන),correct,(වර්තමාන)
විවිධ වර්ණයේ කොඩි ක්‍රීඩා පිටිය වටා ලෙළ,correct,විවිධ වර්ණයේ කොඩි ක්‍රීඩා පිටිය වටා ලෙළ
දෙයි,correct,දෙයි
ක්‍රීඩා නායක නායකයෝ ඔලිම්පික් පහන,correct,ක්‍රීඩා නායක නායකයෝ ඔලිම්පික් පහන
දල්වති,correct,දල්වති
ක්‍රීඩක ක්‍රීඩිකාවෝ ධාවන පථයේ වේගයෙන්,correct,ක්‍රීඩක ක්‍රීඩිකාවෝ ධාවන පථයේ වේගයෙන්
දුවති,correct,දුවති
අපි සීගිරිය නැරඹීමට ගියෙමු,Punctuation,අපි සීගිරිය නැරඹීමට ගියෙමු.
(අතීතකාලය),correct,(අතීතකාලය)
විනෝද පොකුණු මැදින් අපි සිගිරි ගල,Vowel/diacritic,විනෝද පොකුණු මැදින් අපි සීගිරි ගල
මුදුනට ගියෙමු,Punctuation,මුදුනට ගියෙමු.
සිගිරි බිතු සිතුවම් බලා අපි සතුටු වුණෙමි.,Vowel/diacritic,සීගිරි බිතු සිතුවම් බලා අපි සතුටු වුණෙමි.
විරාම ලකුණු,correct,විරාම ලකුණු
1. තිත .,correct,1. තිත.
2. ප්‍රශ්නාර්ථ ලකුණ ?,correct,2. ප්‍රශ්නාර්ථ ලකුණ?
"3. කොමාව ,",correct,"3. කොමාව,"
යුගල උඩු කොමා,correct,යුගල උඩු කොමා
"යමෙකු විසින් කළ ප්‍රකාශයක්, යමකින්",correct,"යමෙකු විසින් කළ ප්‍රකාශයක්, යමකින්"
උපුටා ගැනීමක් සඳහා වන කොටසක්,correct,උපුටා ගැනීමක් සඳහා වන කොටසක්
"විස්මයක්, ආශිර්වාදයක්, ශෝකයක්,",correct,"විස්මයක්, ආශිර්වාදයක්, ශෝකයක්,"
නගා කරන ආමන්ත්‍රණයකදී මෙය යොදයි,Punctuation,නගා කරන ආමන්ත්‍රණයකදී මෙය යොදයි.
"සතුටක්, ප්‍රාර්ථනයක්, නියෝගයක්, හඬ",correct,"සතුටක්, ප්‍රාර්ථනයක්, නියෝගයක්, හඬ"
සොබාදහමට ආදරය කළ ශ්‍රේෂ්ඨ රතු ඉන්දීය,correct,සොබාදහමට ආදරය කළ ශ්‍රේෂ්ඨ රතු ඉන්දීය
නායකයා කවුද? * සියටල්,correct,නායකයා කවුද? * සියටල්
එකම පවුලකට අයත් වන දේ ලෙස මෙහි,correct,එකම පවුලකට අයත් වන දේ ලෙස මෙහි
දක්වා ඇත්තේ මොනවාද ?,correct,දක්වා ඇත්තේ මොනවාද?
"* සුගන්ධවත් පුෂ්පයෝ, පිනි මුවා,",correct,"* සුගන්ධවත් පුෂ්පයෝ, පිනි මුවා,"
කූර,correct,කූර
පූසා,correct,පූසා
නූල,correct,නූල
ලූලා,correct,ලූලා
දූපත,correct,දූපත
කොට්ඨාශය,correct,කොට්ඨාශය
කිලිටි,correct,කිලිටි
කැලණි,correct,කැලණි
කැලෑව/ කැළෑව,correct,කැලෑව/ කැළෑව
ගවේෂණශීලී,correct,ගවේෂණශීලී
මධ්‍යම,correct,මධ්‍යම
* රකාරාංශය,correct,* රකාරාංශය
මධ්‍ය,correct,මධ්‍ය
ධාන්‍ය,correct,ධාන්‍ය
සූකිරි,correct,සූකිරි
රූකඩ,correct,රූකඩ
සූරයා,correct,සූරයා
බූරුවා,correct,බූරුවා
වාක්‍ය,correct,වාක්‍ය
සෞඛ්‍ය,correct,සෞඛ්‍ය
රාජ්‍ය,correct,රාජ්‍ය
ද්‍රව්‍ය,correct,ද්‍රව්‍ය
1 කොන් පාපිල්ල,correct,1 කොන් පාපිල්ල
"ඛු , ඝු, චු, ජු, ඡූ, ඣු, ඤු",correct,"ඛු, ඝු, චු, ජු, ඡූ, ඣු, ඤු"
"ටු, ඨු, ඩු, ණු, ථු, දු, නු",correct,"ටු, ඨු, ඩු, ණු, ථු, දු, නු"
"අයියේ, සීනිබෝල ගෙනාවද ?",correct,"අයියේ, සීනිබෝල ගෙනාවද?"
එක් වර්ගයක වචන වෙන් කිරීමේ දී,correct,එක් වර්ගයක වචන වෙන් කිරීමේ දී
"සේරමත් අරගෙන, ආපහු එනවා .",correct,"සේරමත් අරගෙන, ආපහු එනවා."
හතරකින් විවේක අරගෙන එහෙ ලියුම්,correct,හතරකින් විවේක අරගෙන එහෙ ලියුම්
"උදා පැය අටකින් පිතාරවලට ගිහින්, පැය",correct,"උදා පැය අටකින් පිතාරවලට ගිහින්, පැය"
වඩාත් ඇලුම් කරමි,Punctuation,වඩාත් ඇලුම් කරමි.
3 උපාලි හා ජින්නා අතර සිදුවන වීරක්‍රියා,missing word/letter,3 උපාලි හා ජින්නා අතර සිදුවන වීර ක්‍රියා
කරමි .,correct,කරමි.
නිසා මම  එයට  වඩ  වඩාත් ඇලුම්,correct,නිසා මම එයට වඩ වඩාත් ඇලුම්
1. මාර්ටින් වික්‍රමසිංහ මහතා රචනා කල මඩොල්,correct,1. මාර්ටින් වික්‍රමසිංහ මහතා රචනා කල මඩොල්
දූව නම් ළමා නව කතා පොතට මම බොහෝ,correct,දූව නම් ළමා නව කතා පොතට මම බොහෝ
ප්‍රිය කරමි,Punctuation,ප්‍රිය කරමි.
එහි ඇති අපූරු සිතුවම් නිසා මම එයට,correct,එහි ඇති අපූරු සිතුවම් නිසා මම එයට
රූපවාහිනිය,correct,රූපවාහිනිය
1. ප්‍රබල සන්නිවේදන මාධ්‍යයක් වන රූපවාහිනිය,correct,1. ප්‍රබල සන්නිවේදන මාධ්‍යයක් වන රූපවාහිනිය
ජෝන් ලොගී බෙයාර්ඩ් මහතා ලොවට,correct,ජෝන් ලොගී බෙයාර්ඩ් මහතා ලොවට
හදුන්වා දුන්නේ ය,Punctuation,හදුන්වා දුන්නේ ය.
2. ශ්‍රව්‍ය දෘශ්‍ය සන්නිවේදන මාධ්‍යයක් වන,correct,2. ශ්‍රව්‍ය දෘශ්‍ය සන්නිවේදන මාධ්‍යයක් වන
රූපවාහිනිය ලොව තොරතුරු එසැණින් අප,correct,රූපවාහිනිය ලොව තොරතුරු එසැණින් අප
අප  වෙත  ගෙන එයි.,correct,අප වෙත ගෙන එයි.
"3 ආගමික , දේශාපාලික , ක්‍රීඩා,ආර්ථික හා",correct,"3 ආගමික, දේශාපාලික, ක්‍රීඩා, ආර්ථික හා"
සාමාජීය තොරතුරු ගෙන එන රූපවාහිනිය,correct,සාමාජීය තොරතුරු ගෙන එන රූපවාහිනිය
අපේ යහපැවත්මට  අපි භාවිතා කරමු.,correct,අපේ යහපැවත්මට අපි භාවිතා කරමු.
මම බොහෝ ප්‍රිය කරමි .,correct,මම බොහෝ ප්‍රිය කරමි.
පොලියානා නම් ළමා නව කතා පොතට,correct,පොලියානා නම් ළමා නව කතා පොතට
2. එහි ඇති පොලියානා නම් චරිතයට,correct,2. එහි ඇති පොලියානා නම් චරිතයට
3 එහි ඇති සතුටු බෙදන සෙල්ලමට,correct,3 එහි ඇති සතුටු බෙදන සෙල්ලමට
මා ගිය විනෝද ගමනක්,correct,මා ගිය විනෝද ගමනක්
1. මම පවුලේ අය සමඟ මාතලේ රිවස්ටන්,correct,1. මම පවුලේ අය සමඟ මාතලේ රිවස්ටන්
සිරි නැරඹීමට විනෝද චාරිකාවක් ගියෙමි.,correct,සිරි නැරඹීමට විනෝද චාරිකාවක් ගියෙමි.
"2. මීදුමෙන් වැසුණු කඳු  පන්ති,කඩා හැලෙන",correct,"2. මීදුමෙන් වැසුණු කඳු පන්ති, කඩා හැලෙන"
දිය ඇලි එහි ඇති ගස් වැල් දැක මම,correct,දිය ඇලි එහි ඇති ගස් වැල් දැක මම
සතුටු  වුණෙමි.,correct,සතුටු වුණෙමි.
"3. නටා, ගයා, වයා ආ ගිය එම විනෝද ගමනෙන්",correct,"3. නටා, ගයා, වයා ආ ගිය එම විනෝද ගමනෙන්"
මම බොහෝ සතුටට පත් වුණෙමි.,correct,මම බොහෝ සතුටට පත් වුණෙමි.
මුහුද,correct,මුහුද
තිබණා,correct,තිබණා
තඹුරු,correct,තඹුරු
සුදු,correct,සුදු
හැපුණා,correct,හැපුණා
1. මම පවුලේ අය සමඟ නුවරඑළිය සිරි,correct,1. මම පවුලේ අය සමඟ නුවරඑළිය සිරි
නැරඹීමට විනෝද චාරකාවක් ගියෙමි,Punctuation,නැරඹීමට විනෝද චාරකාවක් ගියෙමි.
"2. මීදුමෙන් වැසුණු කඳු  පන්ති, කඩා හැලෙන",correct,"2. මීදුමෙන් වැසුණු කඳු පන්ති, කඩා හැලෙන"
"දිය ඇලි, තේ වතු, මල් වතු දැක මම",correct,"දිය ඇලි, තේ වතු, මල් වතු දැක මම"
සතුටු  වුණෙමි.,correct,සතුටු වුණෙමි.
"3. නටා, ගයා, වයා ආ ගිය එම විනෝද",correct,"3. නටා, ගයා, වයා ආ ගිය එම විනෝද"
ගමනෙන් මම බොහෝ සතුටට පත් වුණෙමි.,correct,ගමනෙන් මම බොහෝ සතුටට පත් වුණෙමි.
අපද්‍රව්‍ය ජලයට එක් නොකර අපි ජල සම්පත සුරකිමු.,correct,අපද්‍රව්‍ය ජලයට එක් නොකර අපි ජල සම්පත සුරකිමු.
ජල සම්පත සුරකිමු .,correct,ජල සම්පත සුරකිමු.
කර අපි ජල සම්පත සුරකිමු.,correct,කර අපි ජල සම්පත සුරකිමු.
"1. කැඩී බිදී ගිය ජල නළ පද්ධති, ජල කරාම අලුත්වැඩියා",correct,"1. කැඩී බිදී ගිය ජල නළ පද්ධති, ජල කරාම අලුත්වැඩියා"
"2. සතුන්ගේ මළ මුත්‍රා, කර්මාන්තශාලා වලින් පැමිණෙන",correct,"2. සතුන්ගේ මළ මුත්‍රා, කර්මාන්තශාලා වලින් පැමිණෙන"
3 මිනිස් පරිභෝජනයට සීමිත වූ ජලයෙහි අගය අන් අයට,correct,3 මිනිස් පරිභෝජනයට සීමිත වූ ජලයෙහි අගය අන් අයට
"දේපළ පිරිසිදුව, පිළිවෙලට තබා ගනිමින් අපි ඒවා සුරකිමු.",correct,"දේපළ පිරිසිදුව, පිළිවෙලට තබා ගනිමින් අපි ඒවා සුරකිමු."
"2. අනවශ්‍ය ලෙස කඩා බිද නොදමින්, නිසි ලෙස",correct,"2. අනවශ්‍ය ලෙස කඩා බිද නොදමින්, නිසි ලෙස"
නඩත්තු කරමින් අපි පොදු දේපළ සුරැකීමු.,correct,නඩත්තු කරමින් අපි පොදු දේපළ සුරැකීමු.
"පාසල, පන්සල, බැංකුව, බස් නැවතුම වැනි පොදු",correct,"පාසල, පන්සල, බැංකුව, බස් නැවතුම වැනි පොදු"
මෙවැනි ස්ථානවල අගය සැමට වටහා දී අපි පොදු,correct,මෙවැනි ස්ථානවල අගය සැමට වටහා දී අපි පොදු
දේපළ සුරැකීමට දායක වෙමු.,correct,දේපළ සුරැකීමට දායක වෙමු.
